District,cost_type,count,sum
Академический район,Бесплатная,3,19
Академический район,Платная,1,8
Алексеевский район,Бесплатная,9,88
Алексеевский район,Платная,7,64
Алтуфьевский район,Бесплатная,2,20
Алтуфьевский район,Платная,3,30
Бабушкинский район,Бесплатная,7,62
Бабушкинский район,Платная,9,77
Басманный район,Бесплатная,37,116
Басманный район,Платная,45,109
Бескудниковский район,Бесплатная,4,25
Бескудниковский район,Платная,4,28
Бутырский район,Бесплатная,3,18
Бутырский район,Платная,4,38
Войковский район,Бесплатная,6,38
Войковский район,Платная,2,16
Гагаринский район,Бесплатная,6,52
Гагаринский район,Платная,3,26
Головинский район,Бесплатная,3,28
Головинский район,Платная,9,67
Даниловский район,Бесплатная,2,11
Даниловский район,Платная,3,21
Дмитровский район,Бесплатная,3,24
Дмитровский район,Платная,2,18
Донской район,Бесплатная,3,26
Донской район,Платная,3,12
Красносельский район,Бесплатная,13,35
Красносельский район,Платная,10,44
Ломоносовский район,Бесплатная,2,9
Ломоносовский район,Платная,2,11
Лосиноостровский район,Бесплатная,5,39
Лосиноостровский район,Платная,6,49
Мещанский район,Бесплатная,11,34
Мещанский район,Платная,9,26
Можайский район,Бесплатная,1,8
Можайский район,Платная,3,24
Молжаниновский район,Платная,1,1
Нагорный район,Бесплатная,3,30
Нагорный район,Платная,6,42
Нижегородский район,Бесплатная,3,22
Обручевский район,Бесплатная,5,48
Обручевский район,Платная,4,39
Останкинский район,Бесплатная,6,40
Останкинский район,Платная,4,34
Пресненский район,Бесплатная,23,80
Пресненский район,Платная,23,83
Рязанский район,Бесплатная,2,16
Рязанский район,Платная,4,21
Савёловский район,Бесплатная,4,36
Савёловский район,Платная,3,21
Таганский район,Бесплатная,8,19
Таганский район,Платная,9,20
Тверской район,Бесплатная,19,56
Тверской район,Платная,20,61
Тимирязевский район,Бесплатная,1,3
Тимирязевский район,Платная,5,44
Хорошёвский район,Бесплатная,4,36
Хорошёвский район,Платная,1,8
Южнопортовый район,Бесплатная,4,18
Южнопортовый район,Платная,2,16
Ярославский район,Бесплатная,7,68
Ярославский район,Платная,3,28
поселение Внуковское,Бесплатная,2,16
поселение Внуковское,Платная,2,36
поселение Московский,Бесплатная,2,18
поселение Московский,Платная,1,20
поселение Сосенское,Бесплатная,4,50
поселение Сосенское,Платная,1,8
район Арбат,Бесплатная,8,21
район Арбат,Платная,7,9
район Аэропорт,Бесплатная,1,8
район Аэропорт,Платная,1,10
район Беговой,Бесплатная,1,10
район Бибирево,Бесплатная,7,61
район Бибирево,Платная,12,114
район Бирюлёво Восточное,Бесплатная,5,50
район Бирюлёво Восточное,Платная,10,90
район Бирюлёво Западное,Бесплатная,1,10
район Бирюлёво Западное,Платная,2,18
район Богородское,Бесплатная,2,14
район Богородское,Платная,1,8
район Братеево,Бесплатная,3,17
район Братеево,Платная,3,30
район Вешняки,Бесплатная,5,35
район Вешняки,Платная,3,17
район Восточное Дегунино,Бесплатная,2,9
район Восточное Дегунино,Платная,2,12
район Восточное Измайлово,Бесплатная,1,8
район Восточное Измайлово,Платная,1,10
район Выхино-Жулебино,Бесплатная,10,63
район Выхино-Жулебино,Платная,6,30
район Гольяново,Бесплатная,2,9
район Гольяново,Платная,3,26
район Дорогомилово,Бесплатная,1,8
район Дорогомилово,Платная,1,4
район Замоскворечье,Бесплатная,7,9
район Замоскворечье,Платная,5,16
район Западное Дегунино,Бесплатная,4,38
район Западное Дегунино,Платная,1,8
район Зюзино,Бесплатная,2,14
район Зюзино,Платная,4,16
район Зябликово,Бесплатная,4,40
район Зябликово,Платная,11,98
район Ивановское,Бесплатная,2,16
район Ивановское,Платная,3,20
район Измайлово,Бесплатная,2,11
район Измайлово,Платная,6,41
район Капотня,Бесплатная,4,32
район Капотня,Платная,4,32
район Коньково,Бесплатная,4,40
район Коньково,Платная,3,28
район Коптево,Бесплатная,1,10
район Коптево,Платная,3,30
район Косино-Ухтомский,Бесплатная,3,18
район Косино-Ухтомский,Платная,7,47
район Котловка,Бесплатная,3,28
район Котловка,Платная,3,26
район Крылатское,Бесплатная,2,18
район Крылатское,Платная,4,27
район Крюково,Бесплатная,1,8
район Крюково,Платная,1,8
район Кузьминки,Бесплатная,1,10
район Кузьминки,Платная,2,16
район Кунцево,Бесплатная,1,10
район Кунцево,Платная,1,8
район Куркино,Платная,2,20
район Левобережный,Бесплатная,2,18
район Левобережный,Платная,4,38
район Лефортово,Бесплатная,4,21
район Лефортово,Платная,5,26
район Лианозово,Бесплатная,8,76
район Лианозово,Платная,4,38
район Люблино,Бесплатная,2,18
район Люблино,Платная,3,28
район Марфино,Бесплатная,1,8
район Марфино,Платная,2,8
район Марьина Роща,Бесплатная,3,30
район Марьина Роща,Платная,3,24
район Марьино,Платная,2,16
район Метрогородок,Бесплатная,4,18
район Митино,Бесплатная,3,15
район Митино,Платная,3,18
район Москворечье-Сабурово,Бесплатная,2,16
район Москворечье-Сабурово,Платная,3,22
район Нагатино-Садовники,Бесплатная,1,10
район Нагатино-Садовники,Платная,8,78
район Нагатинский Затон,Бесплатная,7,53
район Нагатинский Затон,Платная,3,28
район Некрасовка,Бесплатная,1,12
район Некрасовка,Платная,5,46
район Ново-Переделкино,Бесплатная,4,26
