District,Бесплатная,Платная
Академический район,19.0,8.0
Алексеевский район,88.0,64.0
Алтуфьевский район,20.0,30.0
Бабушкинский район,62.0,77.0
Басманный район,116.0,109.0
Бескудниковский район,25.0,28.0
Бутырский район,18.0,38.0
Войковский район,38.0,16.0
Гагаринский район,52.0,26.0
Головинский район,28.0,67.0
Даниловский район,11.0,21.0
Дмитровский район,24.0,18.0
Донской район,26.0,12.0
Красносельский район,35.0,44.0
Ломоносовский район,9.0,11.0
Лосиноостровский район,39.0,49.0
Мещанский район,34.0,26.0
Можайский район,8.0,24.0
Молжаниновский район,,1.0
Нагорный район,30.0,42.0
Нижегородский район,22.0,
Обручевский район,48.0,39.0
Останкинский район,40.0,34.0
Пресненский район,80.0,83.0
Рязанский район,16.0,21.0
Савёловский район,36.0,21.0
Таганский район,19.0,20.0
Тверской район,56.0,61.0
Тимирязевский район,3.0,44.0
Хорошёвский район,36.0,8.0
Южнопортовый район,18.0,16.0
Ярославский район,68.0,28.0
поселение Внуковское,16.0,36.0
поселение Московский,18.0,20.0
поселение Сосенское,50.0,8.0
район Арбат,21.0,9.0
район Аэропорт,8.0,10.0
район Беговой,10.0,
район Бибирево,61.0,114.0
район Бирюлёво Восточное,50.0,90.0
район Бирюлёво Западное,10.0,18.0
район Богородское,14.0,8.0
район Братеево,17.0,30.0
район Вешняки,35.0,17.0
район Восточное Дегунино,9.0,12.0
район Восточное Измайлово,8.0,10.0
район Выхино-Жулебино,63.0,30.0
район Гольяново,9.0,26.0
район Дорогомилово,8.0,4.0
район Замоскворечье,9.0,16.0
район Западное Дегунино,38.0,8.0
район Зюзино,14.0,16.0
район Зябликово,40.0,98.0
район Ивановское,16.0,20.0
район Измайлово,11.0,41.0
район Капотня,32.0,32.0
район Коньково,40.0,28.0
район Коптево,10.0,30.0
район Косино-Ухтомский,18.0,47.0
район Котловка,28.0,26.0
район Крылатское,18.0,27.0
район Крюково,8.0,8.0
район Кузьминки,10.0,16.0
район Кунцево,10.0,8.0
район Куркино,,20.0
район Левобережный,18.0,38.0
район Лефортово,21.0,26.0
район Лианозово,76.0,38.0
район Люблино,18.0,28.0
район Марфино,8.0,8.0
район Марьина Роща,30.0,24.0
район Марьино,,16.0
район Метрогородок,18.0,
район Митино,15.0,18.0
район Москворечье-Сабурово,16.0,22.0
район Нагатино-Садовники,10.0,78.0
район Нагатинский Затон,53.0,28.0
район Некрасовка,12.0,46.0
район Ново-Переделкино,26.0,12.0
район Новогиреево,11.0,18.0
район Новокосино,1.0,25.0
район Орехово-Борисово Северное,20.0,76.0
район Орехово-Борисово Южное,66.0,85.0
район Отрадное,131.0,111.0
район Очаково-Матвеевское,6.0,
район Перово,35.0,
район Печатники,8.0,10.0
район Покровское-Стрешнево,16.0,16.0
район Преображенское,21.0,11.0
район Проспект Вернадского,9.0,9.0
район Раменки,25.0,42.0
район Ростокино,18.0,20.0
район Савёлки,26.0,50.0
район Свиблово,,10.0
район Северное Бутово,60.0,60.0
район Северное Измайлово,1.0,18.0
район Северное Медведково,84.0,52.0
район Северное Тушино,30.0,30.0
район Северный,36.0,10.0
район Силино,28.0,8.0
район Сокол,,10.0
район Соколиная Гора,16.0,25.0
район Сокольники,28.0,
район Солнцево,12.0,16.0
район Старое Крюково,,20.0
район Строгино,34.0,34.0
район Текстильщики,,25.0
район Тропарёво-Никулино,6.0,26.0
район Тёплый Стан,36.0,25.0
район Фили-Давыдково,,36.0
район Филёвский Парк,10.0,
район Хамовники,24.0,4.0
район Ховрино,6.0,12.0
район Хорошёво-Мнёвники,6.0,36.0
район Царицыно,56.0,38.0
район Чертаново Северное,58.0,20.0
район Чертаново Центральное,68.0,21.0
район Чертаново Южное,86.0,36.0
район Черёмушки,20.0,20.0
район Щукино,11.0,18.0
район Южное Бутово,36.0,92.0
район Южное Медведково,60.0,18.0
район Южное Тушино,12.0,44.0
район Якиманка,18.0,16.0
район Ясенево,66.0,38.0
