AdmArea,District,cost_type,count,sum
Восточный административный округ,Нижегородский район,Бесплатная,1,6
Восточный административный округ,район Богородское,Бесплатная,2,14
Восточный административный округ,район Богородское,Платная,1,8
Восточный административный округ,район Вешняки,Бесплатная,5,35
Восточный административный округ,район Вешняки,Платная,3,17
Восточный административный округ,район Восточное Измайлово,Бесплатная,1,8
Восточный административный округ,район Восточное Измайлово,Платная,1,10
Восточный административный округ,район Гольяново,Бесплатная,2,9
Восточный административный округ,район Гольяново,Платная,3,26
Восточный административный округ,район Ивановское,Бесплатная,2,16
Восточный административный округ,район Ивановское,Платная,3,20
Восточный административный округ,район Измайлово,Бесплатная,2,11
Восточный административный округ,район Измайлово,Платная,5,31
Восточный административный округ,район Косино-Ухтомский,Бесплатная,3,18
Восточный административный округ,район Косино-Ухтомский,Платная,7,47
Восточный административный округ,район Метрогородок,Бесплатная,4,18
Восточный административный округ,район Новогиреево,Бесплатная,2,11
Восточный административный округ,район Новогиреево,Платная,2,18
Восточный административный округ,район Новокосино,Бесплатная,1,1
Восточный административный округ,район Новокосино,Платная,4,25
Восточный административный округ,район Перово,Бесплатная,5,35
Восточный административный округ,район Преображенское,Бесплатная,3,21
Восточный административный округ,район Преображенское,Платная,2,11
Восточный административный округ,район Северное Измайлово,Бесплатная,1,1
Восточный административный округ,район Северное Измайлово,Платная,2,18
Восточный административный округ,район Соколиная Гора,Бесплатная,4,16
Восточный административный округ,район Соколиная Гора,Платная,4,25
Восточный административный округ,район Сокольники,Бесплатная,4,28
Западный административный округ,Можайский район,Бесплатная,1,8
Западный административный округ,Можайский район,Платная,3,24
Западный административный округ,район Дорогомилово,Бесплатная,1,8
Западный административный округ,район Дорогомилово,Платная,1,4
Западный административный округ,район Крылатское,Бесплатная,2,18
Западный административный округ,район Крылатское,Платная,4,27
Западный административный округ,район Кунцево,Бесплатная,1,10
Западный административный округ,район Кунцево,Платная,1,8
Западный административный округ,район Марьино,Платная,1,8
Западный административный округ,район Ново-Переделкино,Бесплатная,4,26
Западный административный округ,район Ново-Переделкино,Платная,2,12
Западный административный округ,район Очаково-Матвеевское,Бесплатная,1,6
Западный административный округ,район Проспект Вернадского,Бесплатная,2,9
Западный административный округ,район Проспект Вернадского,Платная,2,9
Западный административный округ,район Раменки,Бесплатная,4,25
Западный административный округ,район Раменки,Платная,4,42
Западный административный округ,район Солнцево,Бесплатная,2,12
Западный административный округ,район Солнцево,Платная,2,16
Западный административный округ,район Тропарёво-Никулино,Бесплатная,1,6
Западный административный округ,район Тропарёво-Никулино,Платная,3,26
Западный административный округ,район Фили-Давыдково,Платная,4,36
Западный административный округ,район Филёвский Парк,Бесплатная,1,10
Западный административный округ,район Якиманка,Платная,1,8
Зеленоградский административный округ,район Крюково,Бесплатная,1,8
Зеленоградский административный округ,район Крюково,Платная,1,8
Зеленоградский административный округ,район Савёлки,Бесплатная,3,26
Зеленоградский административный округ,район Савёлки,Платная,6,50
Зеленоградский административный округ,район Силино,Бесплатная,5,28
Зеленоградский административный округ,район Силино,Платная,1,8
Зеленоградский административный округ,район Старое Крюково,Платная,3,20
Новомосковский административный округ,поселение Внуковское,Бесплатная,2,16
Новомосковский административный округ,поселение Внуковское,Платная,2,36
Новомосковский административный округ,поселение Московский,Бесплатная,2,18
Новомосковский административный округ,поселение Московский,Платная,1,20
Новомосковский административный округ,поселение Сосенское,Бесплатная,4,50
Новомосковский административный округ,поселение Сосенское,Платная,1,8
Северный административный округ,Бескудниковский район,Бесплатная,4,25
Северный административный округ,Бескудниковский район,Платная,4,28
Северный административный округ,Войковский район,Бесплатная,6,38
Северный административный округ,Войковский район,Платная,2,16
Северный административный округ,Головинский район,Бесплатная,3,28
Северный административный округ,Головинский район,Платная,9,67
Северный административный округ,Дмитровский район,Бесплатная,3,24
Северный административный округ,Дмитровский район,Платная,2,18
Северный административный округ,Молжаниновский район,Платная,1,1
Северный административный округ,Останкинский район,Платная,1,8
Северный административный округ,Савёловский район,Бесплатная,4,36
Северный административный округ,Савёловский район,Платная,3,21
Северный административный округ,Тимирязевский район,Бесплатная,1,3
Северный административный округ,Тимирязевский район,Платная,5,44
Северный административный округ,Хорошёвский район,Бесплатная,4,36
Северный административный округ,Хорошёвский район,Платная,1,8
Северный административный округ,район Арбат,Бесплатная,1,8
Северный административный округ,район Аэропорт,Бесплатная,1,8
Северный административный округ,район Аэропорт,Платная,1,10
Северный административный округ,район Беговой,Бесплатная,1,10
Северный административный округ,район Восточное Дегунино,Бесплатная,2,9
Северный административный округ,район Восточное Дегунино,Платная,2,12
Северный административный округ,район Западное Дегунино,Бесплатная,4,38
Северный административный округ,район Западное Дегунино,Платная,1,8
