,,,Capacity,Capacity,rating,rating,rating
,,,count,sum,min,max,mean
Восточный административный округ,Нижегородский район,Бесплатная,1,6,8,8,8.0
Восточный административный округ,район Богородское,Бесплатная,2,14,8,10,9.0
Восточный административный округ,район Богородское,Платная,1,8,0,0,0.0
Восточный административный округ,район Вешняки,Бесплатная,5,35,2,10,6.8
Восточный административный округ,район Вешняки,Платная,3,17,0,9,4.666666666666667
Восточный административный округ,район Восточное Измайлово,Бесплатная,1,8,6,6,6.0
Восточный административный округ,район Восточное Измайлово,Платная,1,10,7,7,7.0
Восточный административный округ,район Гольяново,Бесплатная,2,9,0,10,5.0
Восточный административный округ,район Гольяново,Платная,3,26,2,6,4.0
Восточный административный округ,район Ивановское,Бесплатная,2,16,4,7,5.5
Восточный административный округ,район Ивановское,Платная,3,20,0,6,2.0
Восточный административный округ,район Измайлово,Бесплатная,2,11,4,9,6.5
Восточный административный округ,район Измайлово,Платная,5,31,0,10,6.6
Восточный административный округ,район Косино-Ухтомский,Бесплатная,3,18,1,5,2.3333333333333335
Восточный административный округ,район Косино-Ухтомский,Платная,7,47,3,8,4.714285714285714
Восточный административный округ,район Метрогородок,Бесплатная,4,18,3,8,5.25
Восточный административный округ,район Новогиреево,Бесплатная,2,11,2,8,5.0
Восточный административный округ,район Новогиреево,Платная,2,18,3,3,3.0
Восточный административный округ,район Новокосино,Бесплатная,1,1,8,8,8.0
Восточный административный округ,район Новокосино,Платная,4,25,0,8,3.5
Восточный административный округ,район Перово,Бесплатная,5,35,6,9,7.8
Восточный административный округ,район Преображенское,Бесплатная,3,21,0,8,3.3333333333333335
Восточный административный округ,район Преображенское,Платная,2,11,3,9,6.0
Восточный административный округ,район Северное Измайлово,Бесплатная,1,1,1,1,1.0
Восточный административный округ,район Северное Измайлово,Платная,2,18,3,6,4.5
Восточный административный округ,район Соколиная Гора,Бесплатная,4,16,0,3,1.75
Восточный административный округ,район Соколиная Гора,Платная,4,25,0,4,1.5
Восточный административный округ,район Сокольники,Бесплатная,4,28,0,6,2.0
Западный административный округ,Можайский район,Бесплатная,1,8,9,9,9.0
Западный административный округ,Можайский район,Платная,3,24,4,7,5.0
Западный административный округ,район Дорогомилово,Бесплатная,1,8,9,9,9.0
Западный административный округ,район Дорогомилово,Платная,1,4,6,6,6.0
Западный административный округ,район Крылатское,Бесплатная,2,18,4,4,4.0
Западный административный округ,район Крылатское,Платная,4,27,3,8,6.25
Западный административный округ,район Кунцево,Бесплатная,1,10,4,4,4.0
Западный административный округ,район Кунцево,Платная,1,8,7,7,7.0
Западный административный округ,район Марьино,Платная,1,8,10,10,10.0
Западный административный округ,район Ново-Переделкино,Бесплатная,4,26,7,10,8.5
Западный административный округ,район Ново-Переделкино,Платная,2,12,2,9,5.5
Западный административный округ,район Очаково-Матвеевское,Бесплатная,1,6,5,5,5.0
Западный административный округ,район Проспект Вернадского,Бесплатная,2,9,3,4,3.5
Западный административный округ,район Проспект Вернадского,Платная,2,9,1,7,4.0
Западный административный округ,район Раменки,Бесплатная,4,25,1,10,4.5
Западный административный округ,район Раменки,Платная,4,42,2,10,6.0
Западный административный округ,район Солнцево,Бесплатная,2,12,3,3,3.0
Западный административный округ,район Солнцево,Платная,2,16,0,2,1.0
Западный административный округ,район Тропарёво-Никулино,Бесплатная,1,6,4,4,4.0
Западный административный округ,район Тропарёво-Никулино,Платная,3,26,0,6,2.3333333333333335
Западный административный округ,район Фили-Давыдково,Платная,4,36,8,9,8.25
Западный административный округ,район Филёвский Парк,Бесплатная,1,10,10,10,10.0
Западный административный округ,район Якиманка,Платная,1,8,2,2,2.0
Зеленоградский административный округ,район Крюково,Бесплатная,1,8,4,4,4.0
Зеленоградский административный округ,район Крюково,Платная,1,8,7,7,7.0
Зеленоградский административный округ,район Савёлки,Бесплатная,3,26,0,6,2.6666666666666665
