,,type,min,max,mean
Юго-Восточный административный округ,район Некрасовка,Бесплатная,10,10,10.0
Зеленоградский административный округ,район Силино,Платная,10,10,10.0
Северный административный округ,район Сокол,Платная,10,10,10.0
Западный административный округ,район Марьино,Платная,10,10,10.0
Западный административный округ,район Филёвский Парк,Бесплатная,10,10,10.0
Юго-Восточный административный округ,район Печатники,Бесплатная,9,9,9.0
Западный административный округ,Можайский район,Бесплатная,9,9,9.0
Западный административный округ,район Дорогомилово,Бесплатная,9,9,9.0
Юго-Восточный административный округ,Гагаринский район,Бесплатная,9,9,9.0
Новомосковский административный округ,поселение Сосенское,Платная,9,9,9.0
